,School,Section,Year,Outreach Category,Wiki Hyperlink,Project Tag,Audience,Goal,Objectives,Description
1304,UNSW Australia,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UNSW%20Australia,Consult Experts,"Scientific Community, Vendors/Businesses",Gain Information for iGEM Project,"<ul><li> To investigate the application of a non-replicative, stable transport mechanism able to carry functional proteins and molecules, meet with Mike Manefield, a researcher and founder of Environmental Biotechnology company Micronovo, which specializes in bioaugmentation of polluted environments</li><li> Ask key question of how environmental biotechnologies can successfully be implemented into Australian industries, and what barriers exist to this implementation</ul>",Investigated the application of a non-replicative transport mechanism able to carry functional proteins and molecules
1305,UNSW Australia,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UNSW%20Australia,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> To discuss how the OMV platform technology could be customized for various medicinal uses by using OMVs for the uptake, delivery, or transport of biologically significant molecules, meet with Lawrence Lee, who specializes in the artificial synthesis of complex nanoscale biological machines and other bio-inspired technologies</ul>",Discussed how the OMV platform technology could be customized for various medicinal uses
1306,UNSW Australia,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UNSW%20Australia,Consult Experts,"Professors, Scientific Community",Gain Information for iGEM Project,"<ul><li> To investigate the sociological factors influencing the progression of synthetic biology, discuss with leading academics in the field of environmental humanities</li><li> Converse with Matthew Kearnes, an ARC Future Fellow at UNSW in the School of Humanities and Languages, focusing upon the intersection between science and social theory, including research into the social dimensions of bionanotechnologies</li><li> Talk to Eben Kirksey, a Senior Lecturer and DECRA Fellow at UNSW, researching the boundaries of nature and culture, and the political influences on the imaginative processes</ul>",Investigated the sociological factors influencing the progression of synthetic biology by conversing with leading academics in the field of environmental humanities
1307,UNSW Australia,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UNSW%20Australia,Consult Experts,Legislators,Gain Information for iGEM Project,"<ul><li> In order to closely examine the complexity of Biolegalities, begin discussions with academics in the fields of law and philosophy</li><li> Talk to Marc de Leeuw, a senior lecturer in the UNSW Law Faculty, specializing in the field of legal, moral, and political philosophy</li><li> Consult with Lyria Bennett Moses, an associate professor in Law at UNSW, whose research explores the relationship between technology and law, and the issues which arise as technologies evolve and change within Australian jurisdictions</ul>",Began discussions with academics in the fields of law and philosophy
1308,UNSW Australia,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UNSW%20Australia,Teaching Activity,Secondary School Students,"Promote Awareness of Synthetic Biology, Discuss Ethics and Safety","<ul><li> Secure a one-hour workshop opportunity with the organization B. Inspiring Inc. to present and educate their audience about the growing field of synthetic biology</li><li> B. Inspiring runs an annual three-day conference addressing high school students between years 10 to 12 who aspire to work in the field of STEM (science technology engineering and mathematics)</li><li> Require students to develop a pitch solution to one of the UN sustainable goals</li><li> Workshops and presentations given by guest speakers from leading companies in STEM, which helps students develop their pitches and inspires them about the merits of a career in STEM</li><li> Provide them with an activity, which is to construct a bio-synthetic organism by using BioBricks</li><li> Discuss the ethical issues that must be addressed in any synthetic biology project</ul>",Secured a one-hour workshop with the organization B. Inspiring Inc. to educate their audience about the growing field of synthetic biology
1309,UNSW Australia,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UNSW%20Australia,"Teaching Activity, Project Presentation",Secondary School Students,"Present iGEM Project, Promote Awareness of Synthetic Biology","<ul><li> Hold a series of talks about science, technology, engineering and mathematics (STEM) at Gordon library as a part of Ku-Ring-Gai rotary__ youth education initiative</li><li> Present a talk about synthetic biology and the project</li><li> Organize talks for for high school students with the main focus of enlightening them on the possibilities of a STEM career</ul>","Held a series of talks about science, technology, engineering, and mathematics at Gordon library"
1310,uOttawa,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:uOttawa,Educational Material,iGEM Teams,"Educate on Synthetic Biology, Educate on iGEM Program","<ul><li> In response to emerging policy issues regarding the rapid growth of synthetic biology, create a Canadian iGEM specific guideline on the fair use of genetic material</li><li> Create guideline based on the premise that a better understanding of what rights iGEM members have in part submission could lead to a wider range of innovative projects being submitted to the iGEM registry, which would benefit the iGEM community and a society</ul>",Created a Canadian iGEM specific guideline on the fair use of genetic material
1311,uOttawa,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:uOttawa,Teaching Activity,Secondary School Students,Educate on Synthetic Biology,<ul><li> Organize science workshops for high school students using various visual demonstrations to help students become more conscientious consumers and producers of innovative technologies in society</ul>,Organized science workshops for high school students
1312,uOttawa,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:uOttawa,Teaching Activity,iGEM Teams,"Educate on iGEM Program, Educate on Synthetic Biology","<ul><li> With four other iGEM teams from Ontario (McMaster, Toronto, Queen's, and Waterloo), continue an initiative to create a larger Canadian presence in synthetic biology and iGEM</li><li> Help teams to solidify their projects throughout the summer</li><li> Mentor other teams on how to assemble DNA cheaply and efficiently, how to select protocols and chassis organisms, and how to present projects effectively</li><li> In particular, help McMaster, a team new to iGEM, learn on how iGEM works and how to most effectively perform the cutting-edge science of iGEM</ul>",Helped other teams from Ontario to solidify their projects throughout the summer
1313,UPO-Sevilla,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UPO-Sevilla,Community Event,"General Public, Scientific Community","Promote Awareness of Synthetic Biology, Activism for iGEM Project","<ul><li> Participate in the European Researchers' Night, a European science project promoted by the European Commission to enhance the human side of research through direct contact and conversation with experts</li><li> Set up stand next to the cathedral in the center of Seville</li><li> Apart from students, explain project to tourists, teachers, and professors from different fields, in addition to parents, children and curious passersby</li><li> Distribute brochures with information about iGEM, synthetic biology, and the project</ul>",Participated in a European science event to teach members of the general public about synthetic biology
1314,UPO-Sevilla,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UPO-Sevilla,Community Event,"General Public, Scientific Community",Promote Awareness of Synthetic Biology,"<ul><li> Attend the Week of Science, the largest annual event popularizing science and technology at the European level, organized by ""Oficina de Transferencia de Resultados de Investigaci贸n (OTRI)"" at the Universidad Pablo de Olavide</li><li> Entities related to research and knowledge organize a wide range of activities popularizing science for all ages</li><li> Explain to kids what synthetic biology is and what the iGEM competition is about</li><li> Talk about genetic engineering and the project, explaining the problem of glycerol and how the team intends to fix it</ul>",Participated in a science festival to teach about synthetic biology and engineering
1315,UPO-Sevilla,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UPO-Sevilla,"Community Event, Fair Booth","General Public, Scientific Community","Present iGEM Project, Promote Awareness of Synthetic Biology","<ul><li> Participate in the14th The Science Fair, an educational and cultural project organized by the Andalusian Society for the Promotion of Science, held at the Exhibition and Conference palace in Seville</li><li> Present project with the purpose of creating a space that allows the exchange, dissemination, and communication of scientific knowledge between the pupils of schools, professors of universities, and the staff of research centers and innovative companies</li><li> To explain the project to children, turn project into an interactive game, asking children what they thought they could see under a microscope</li><li> Show children a petri dish</li><li> For older children and teenagers, show the scheme of the bacteria the team works with</ul>",Participated in a science festival to teach about synthetic biology through interactive activities
1316,UPO-Sevilla,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UPO-Sevilla,"Conference/Panel Discussion, Project Presentation",iGEM Teams,Present iGEM Project,"<ul><li> Meet with two other Spanish iGEM teams in the city of Valencia with the purpose of getting to know the rest of the projects and members</li><li> Present projects in the student residence, Galileo Galilei</li><li> Each part of the project is explained by a different team member</li><li> Explain the techniques used to fulfill goals of project</li><li> After presentations, all group members come together and give feedback on projects</ul>",Participated in an iGEM meetup
1317,UPO-Sevilla,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UPO-Sevilla,"Conference/Panel Discussion, Project Presentation",Scientific Community,"Present iGEM Project, Promote Awareness of Synthetic Biology","<ul><li> Attend the Eleventh Meeting of the Molecular Microbiology Group of the SEM (Sociedad Espa帽ola de Microbiolog铆a) in Sevilla</li><li> Several experts from the molecular microbiology sector participate in these meetings, giving presentations on their work to help young researchers</li><li> Present project through poster sessions to people who have already worked with biofilms and have expertise in that area</li><li> Inform PhD students and other researchers about the iGEM competition</ul>",Presented their project and the iGEM program to molecular biologists
1318,UPO-Sevilla,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:UPO-Sevilla,Survey,General Public,Learn Public Opinion,<ul><li> Create survey project in collaboration with other teams from all over the world with the goal of analyzing the public opinion on Genetically Modified Organisms (GMOS)</li><li> Analyze the opinion and knowledge of people from Spain about GMOs</ul>,Created a survey project in collaboration with other teams analyzing the public opinion on Genetically Modified Organisms (GMOs)
1319,UPO-Sevilla,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UPO-Sevilla,Teaching Activity,Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","<ul><li> Explain what synthetic biology is to young school students</li><li> Talk to them about iGEM and the project at the Martinez Monta帽es Institute (Sevilla)</li><li> Teach the main techniques that are used in the field of synthetic biology and the risks that they involve</li><li> In a laboratory at the university, explain how to perform electrophoresis, digestions, plasmid extractions, transformations, etc.</li><li> Organize a practical course and write protocols for it</ul>",Taught secondary school students about synthetic biology and lab techniques
1320,Uppsala,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Uppsala,Consult Experts,Specialized Audience,Gain Information for iGEM Project,<ul><li> Visit CHP (combined heat and power plant) to see how the powerplants works and ask questions</li><li> See all steps of the process of combusting waste at these power plants. </ul>,Visit a powerplant to see how their project could be useful in the industry
1321,Uppsala,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Uppsala,Educational Material,"Scientific Community, iGEM Teams","Activism for iGEM Project, Educate on Synthetic Biology","<ul><li> Design a microfluidic chip for heat shock transformation</li><li> Write a manufacturing manual for their microfluidic method</li><li> Share CAD designs of the microfluidic chips</li><li> Collaborate with Makerspace, a company that provides necessities for biohackers</li><li> Get feedback on the manual from biohackers</li><li> Estimate the approximate cost of the heat shock chip to determine how much a lab could save using their technology</ul>",Designed a microfluidic chip for heat shock transformations and made it accessible to other scientists.
1322,Uppsala,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Uppsala,Educational Material,General Public,"Educate on iGEM Program, Educate on Synthetic Biology","<ul><li> Get interviews by UNT, ERGO, SciLifeLab, Bi-Lagan, and Bladet about their iGEM project.</li><li> Discuss the topic of their project (polycyclic aromatic hydrocarbons) and how their project is investigating this field. </ul>",Publish in various newspaper interviews about PAHs and their iGEM project. 
1323,Uppsala,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Uppsala,Educational Material,General Public,"Educate on iGEM Program, Educate on Synthetic Biology","<ul><li> Make a YouTube channel associated with their team.</li><li> Upload videos throughout the summer about Wikifreeze, meetups, and their iGEM project</ul>",Make YouTube videos about their iGEM project
1324,Uppsala,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Uppsala,Project Presentation,University Students,"Educate on Synthetic Biology, Educate on iGEM Program, Present iGEM Project","<ul><li> Attend an annual lunch conference, SynBio Hour, hosted by the board of the Uppsala iGEM community</li><li> Introduce synthetic biology and iGEM</li><li> Present iGEM project</ul>","Attended a university synthetic biology event and presented on synthetic biology, iGEM and the iGEM project."
1325,Uppsala,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Uppsala,Project Presentation,University Students,Present iGEM Project,"<ul><li> Speak at the annual Student Conference of Science and Technology, an interdisciplinary event where student from different fields speak about interesting research</li><li> Present iGEM project</ul>",Attended a university research event and presented on their iGEM project.
1326,Uppsala,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Uppsala,Survey,General Public,Learn Public Opinion,<ul><li> Ask 190 people about their opinion on synthetic biology and any knowledge they have of it</li><li> Compile the data into a visually appealing graph and post to the wiki</ul>,Created a survey on synthetic biology
1327,Uppsala,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Uppsala,Teaching Activity,Secondary School Students,"Educate on iGEM Program, Educate on Synthetic Biology",<ul><li> Visit high school Rosendalgymnasiet in Uppala to discuss iGEM and synthetic biology</li><li> Talk about their iGEM project and answer questions at the end of the presentation</ul>,Present iGEM project to high school seniors. 
1328,Uppsala,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Uppsala,Teaching Activity,University Students,"Educate on iGEM Program, Educate on Synthetic Biology",<ul><li> Hold various lectures by the team for the university students and professors.</li><li> Have two of the lecture be for biotechnology students in particular</li><li> Discuss synthetic biology and the iGEM competition</ul>,Discuss iGEM through various lectures at their University
1329,USTC-Software,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:USTC-Software,"Fair Booth, Community Event","University Students, Secondary School Students, General Public","Science Education, Educate on Synthetic Biology, Learn Public Opinion","<ul><li> Attend Science and Technology Week, an annual on-campus celebration of science, technology, and engineering involving different college students at USTC conducting various science-based activities</li><li> Introduce the basics of genetics through a poster presentation</li><li> Demonstrate basic experimental techniques, such as liquid relief and centrifugation</li><li> Introduce biobricks and synthetic biology through the metaphors of LEGO and principle of programming</li><li> Distribute questionnaires to participants to get feedback to improve the team's software design</ul>",Attended a university science and technology event and taught participants about synthetic biology and laboratory techniques.
1330,USTC-Software,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:USTC-Software,Project Presentation,iGEM Teams,Present iGEM Project,"<ul><li> Attend the Asian Conference in Taiwan hosted by NCTU iGEM.</li><li> Present iGEM project and listen to other teams projects.</li><li> Receive feedback and give feedback to other teams, and make connections with other synthetic biology students</ul>",Attend iGEM Conference and present iGEM project
1331,USTC-Software,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:USTC-Software,Project Presentation,iGEM Teams,Present iGEM Project,"<ul><li> Hold a communication conference with USTC and HFUT-China.</li><li> Have every team present their project and go over motivation, progress, and obstacles the team still needs to address</li><li> Exchange ideas about software synthetic biologists need and what can best help them design synthetic circuits</ul>","Hold a conference with iGEM teams and discuss their projects, issues, and how software can have an impact on synthetic biology research. "
1332,USTC-Software,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:USTC-Software,Teaching Activity,"Primary School Students, Secondary School Students",Science Education,"<ul><li> Participate in the University's Technologies Activity Week for science, technology, and engineering</li><li> Introduce genetics to elementary school students</li><li> Teach younger students about basic experimental techniques (such as centrifuging).</li><li> Invite older teens to play FoldIt, a game on protein folding. </ul>",Participate in University's science education event by educating elementary school students and high school students . 
1333,USTC-Software,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:USTC-Software,"Teaching Activity, Educational Material","University Students, Scientific Community",Gain Information for iGEM Project,"<ul><li> Based on feedback from questionnaires, design modules ""Simulation"" and ""BLAST"" for scientists who want a program to analyze the concentrations of several interacting substances in a biological reaction</li><li> Have biology majors test out an alpha version and give feedback</li><li> Change aspects of the modules based on students feedback</li><li> Have students test it a second time and give feedback</ul>",Designed software for researchers that analyzes the concentrations of several interacting substances in a biological reaction and improved the design based on student feedback.
1334,UT-Knoxville,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UT-Knoxville,Conference/Panel Discussion,"General Public, University Students",Discuss Ethics and Safety,"<ul><li> Create a panel of scientists who have diverse views on GMOs and have dealt with GMOs in different capacities, including through policy, research, or student research</li><li> Invite the general public and university students to watch the panel discussion on ethics and safety of GMOs </ul>",Hosted a panel discussion on the ethics and safety of GMOs for the general public.
1335,UT-Knoxville,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UT-Knoxville,Teaching Activity,"Primary School Students, General Public","Educate on Synthetic Biology, Discuss Ethics and Safety","<ul><li> Set up six stations to introduce children and parents to synthetic biology at Muse Knoxville, a place for children to explore science</li><li> Lead hands-on activities for children, discuss ethical issues, and introduce parents to emerging research </ul>",Led hands-on Building with Biology activities at a local science museum.
1336,UT-Knoxville,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:UT-Knoxville,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Present iGEM Project",<ul><li> Visit an AP class and present on experimental design in synthetic biology and their project and results</li><li> Participate in a high school science academy lecture series and discuss bioremediation and manufacturing through synthetic biology</ul>,Visited several local high schools and present on synthetic biology.
1337,Valencia UPV,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Valencia%20UPV,"Community Event, Teaching Activity",General Public,"Educate on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on iGEM Program","<ul><li> Gave a talk called ""Learning to program life"" about synthetic biology and its applications at a pub as part of the ""Skepticals in the Pub"" initiative, where each Friday, people interested in the topic of the day reunite in a pub to learn more about the subject</ul>",Gave a presentation about synthetic biology at a weekly pub event.
1338,Valencia UPV,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Valencia%20UPV,"Consult Experts, Project Presentation","Vendors/Businesses, Specialized Audience ","Gain Information for iGEM Project, Learn Public Opinion","<ul><li> Meet with stakeholders; IVIA (Valencian Institute of Agrarian Researches), Intersemillas (national seedbed company), and Babyplant (local seedbed company) to gain feedback about whether ""HYPE-IT"" would be a useful tool, and to gain information about how to focus the project for maximal usefulness</ul>","Met with stakeholders, specifically local seedbed local companies, to discuss the project and its implementation."
1339,Valencia UPV,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Valencia%20UPV,Educational Material,"Scientific Community, iGEM Teams","Present iGEM Project, Discuss Ethics and Safety","<ul><li> Determine the nutritional, environmental, and socioeconomic impact of ""HYPE-IT"" in various potential scenarios</li><li> Write a detailed report that helps the team consider the impact of the project</ul>",Wrote a report on the socioeconomic and nutritional impacts of the iGEM project.
1340,Valencia UPV,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Valencia_UPV,Educational Material,General Public,Educate on Synthetic Biology,"<ul><li> Design a minecraft mod that allowed the team to teach students about synthetic biology</li><li> Include DNA blocks with information of the FASTA files, Lab machines that includes petri dishes, thermocyclers, electroporator, and golden gate thermocycler</li><li> Make the mod into a game that people can play and learn about synthetic biology</ul>",Minecraft mod for synthetic biology (synthetic biology game)
1341,Valencia UPV,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Valencia%20UPV,Project Presentation,Scientific Community,Present iGEM Project,"<ul><li> Blog on PLOS about the goals and value of ""HYPE-IT"" the Valencia UPV 2016 project</li><li> Discuss specifically how ""HYPE-IT"" will be implemented</li><li> Obtain additional coverage by other news organizations throughout Spain</ul>",Created a blog about the iGEM project and its implementation.
1342,Valencia UPV,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Valencia%20UPV,Survey,General Public,Learn Public Opinion,"<ul><li> Survey a wide variety of members of the general public about their awareness of and the frequency of use of various plant breeding techniques, the nutritional qualities derived from said plant breeding techniques, and their knowledge of ""transgenics""</li><li> Use survey data to better approach project-relevant outreach</ul>",Surveyed the public on their knowledge of plant breeding techniques and transgenics.
1343,Valencia UPV,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Valencia%20UPV,Teaching Activity,Primary School Students,"Educate on Synthetic Biology, Science Education","<ul><li> Introduce students from the Summer School of the City of Arts and Sciences from Valencia, who had already learned about biological processes to learning games to promote a hands-on understanding of biology</li><li> Incorporate real world scientific discoveries into later games to help impress upon students what scientific investigation involves</li><li> Introduce synthetic biology as a way to benefit the world, and discuss various applications where it could be useful</ul>",Led summer school students through a series of games and activities related to synthetic biology.
1344,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Community Event,"Scientific Community, University Students, Secondary School Students","Promote Awareness of Synthetic Biology, Discuss Ethics and Safety, Science Education","<ul><li> Attend and host events at 'Spaceship Earth', a national science festival with over 30,000 participants</li><li> Lecture to high school students about biotechnology, iGEM, genetic engineering and synthetic biology</li><li> Host an escape the room focusing on teaching lab safety to scientists, college students, and high school students</ul>",Attended a national science festival and taught participants about synthetic biology
1345,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Community Event,"Scientific Community, University Students, Secondary School Students",Promote Awareness of Synthetic Biology,<ul><li> Organize a life science quiz game at a biotechnology series of events</ul>,Attended and hosted events and lectures at a national science festival 
1346,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Community Event, Project Presentation",Vendors/Businesses,Present iGEM Project,<ul><li> Present about at an international life sciences forum about team's iGEM project</ul>,"Presented iGEM project at Life Sciences Baltics, an international biotechnology industry forum"
1347,Vilnius-Lithuania,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Vilnius-Lithuania,"Community Event, Project Presentation, Conference/Panel Discussion","Scientific Community, Vendors/Businesses","Educate on iGEM Program, Present iGEM Project, Networking","<ul><li> Present current and previous year's iGEM projects at ""The COINS"", an international annually organized life sciences conference sponsored by the Vilnius University Student Union</li><li> Network with and distribute informational booklets to entrepreneurs and biotechnology companies at the special event ""A Company Fair""</ul>",Presented project at a conference and educated participants about synthetic biology
1348,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Community Event, Social Media, Project Presentation",General Public,"Educate on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on iGEM Program, Learn Public Opinion, Present iGEM Project",<ul><li> Take questions and talk about biotechnology and synthetic biology applications on a live youtube channel</ul>,Answered questions about synthetic biology on a live YouTube video
1349,Vilnius-Lithuania,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Vilnius-Lithuania,"Community Event, Speaker Series",General Public,"Educate on iGEM Program, Educate on Synthetic Biology",<ul><li> Spoke about iGEM and GMOs as part of a scientific speaker series for the general public hosted at a cafe</ul>,Speaking as part of a community run scientific speaker series
1350,Vilnius-Lithuania,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Vilnius-Lithuania,Conference/Panel Discussion,Specialized Audience ,Policy Outreach,<ul><li> Meet with the department of environmental services to discuss an upcoming renewal of GMO laws</li><li> Organize a life sciences student board that will meet with members of the Lithuanian Parliament </ul>,Public policy outreach to discuss an upcoming GMO law renewal with members of the Lithuanian government 
1351,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Conference/Panel Discussion, Teaching Activity","Professors, Specialized Audience","Science Education, Educate on Synthetic Biology, Discuss Ethics and Safety","<ul><li> Conduct meetings with Lithuanian writer and Associate Professor of Philosophy at Vilnius University, Kristupas Sabolius and his colleagues about genetic engineering, ethics and the importance of visualization, imagination and fortuities in science.</li><li> With the help of Kristupas Sabolius and two of his colleagues organize a discussion on the possible connection between art and science</li><li> Partner with Kristupas and __nstitutio media_ organisation to organize a workshop for artists and other enthusiasts during __he European Researchers_ Night_ a Europe-wide public event, dedicated to popular science and informal learning.</li><li> During this workshop have a discussion about the adaptability of bacteria and how it affects humans, as well as the scientific importance of working with bacteria</li><li> Have a hands on activity involving bacterial staining with low cost equipment to showcase the accessibility of science to the public</li><li> Have a protein exhibition by showcasing the structure and function of important proteins in bacteria, and how they relate to humans </ul>",Organized a workshop for artists about bacteria and synthetic biology
1352,Vilnius-Lithuania,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Vilnius-Lithuania,Consult Experts,Specialized Audience ,Gain Information for iGEM Project,"<ul><li> Meet with a variety of medical professionals and biotechnology experts to determine potential approaches to treatments of PKU, as well as their feasibility</ul>",Met with experts and medical professionals about treatment for Phenylketonuria
1353,Vilnius-Lithuania,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Vilnius-Lithuania,"Consult Experts, Community Event, Survey","Specialized Audience, General Public","Learn Public Opinion, Gain Information for iGEM Project","<ul><li>Collaborate with the association __alia_ a (PKU patient's association), to gain information about how the condition affects the lives of those who have it</li><li> Attend a PKU summer camp and got opinions on potential deliver mechanisms for probiotics</li><li> Collaborate with Oxford iGEM to administer survey to general public about prefered delivery mechanism for probiotics</ul>",Led activism for their iGEM project on Phenylketonuria
1354,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Social Media,"Primary School Students, Secondary School Students",Promote Awareness of Synthetic Biology,"<ul><li> Host a competition for school students to ""present scientific progress"" around the world, with the winners getting an opportunity to visit ""the biggest and the most innovative science centres in Lithuania: UAB __hermo Fisher Scientific Baltics_ and Vilnius University Life Sciences Centre""</ul>",Hosted a science competition for school students
1355,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Speaker Series,General Public,Promote Awareness of Synthetic Biology,"<ul><li> Host a speaker series about ""Synthetic biology and GMOs"", "" Biotechnology in Lithuania"", ""Human genome editing"", ""Art and science"" and ""Rare genetic diseases""</ul>",Hosted a synthetic biology speaker series
1356,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Survey,General Public,Learn Public Opinion,<ul><li> Collaborate with university Aachen to survey the public about genetic engineering</ul>,Surveyed the public about genetic engineering
1357,Vilnius-Lithuania,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Vilnius-Lithuania,Survey,General Public,Gain Information for iGEM Project,<ul><li>Surveyed general public to get their opinions on GMOs and ethics issues surrounding them</ul>,An ethics and public opinion survey 
1358,Vilnius-Lithuania,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Vilnius-Lithuania,"Survey, Teaching Activity",Secondary School Students,"Educate on Synthetic Biology, Gain Information for iGEM Project",<ul><li> Vist 9 local high schools to investigate (survey) and supplement the bioengineering knowledge of students</ul>,A visit to local high schools to learn public opinions and teach
1359,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,Survey,General Public,"Learn Public Opinion, Gain Information for iGEM Project",<ul><li> Collaborate with Oxford iGEM to administer survey to general public about probiotics</ul>,Surveyed the general public about probiotics
1360,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Survey, Teaching Activity",Secondary School Students,"Educate on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on iGEM Program, Present iGEM Project","<ul><li> Organise talks and discussions about synthetic biology, iGEM, and phenylketonuria to students with scientific and non-scientific backgrounds in 11 schools across 6 different cities of Lithuania</li><li> Survey students to determine their exposure to synthetic biology outside of this event, as well as their opinions on the applications of synthetic biology</ul>",Led talks and discussions with students in schools across Lithuania
1361,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Teaching Activity, Community Event","Primary School Students, Secondary School Students","Educate on Synthetic Biology, Promote Awareness of Synthetic Biology","<ul><li> Organize a workshop during the annual event ""Children's University"" for children between 11-15</li><li> Lecture about ""microorganisms, laboratory work and the ways scientists exploit their imagination to come up with the ideas of modified bacteria performing novel functions""</li><li> Have children create their own synthetic bacteria out of art materials such as colored paper and pencils</ul>",Taught a workshop for children about creating synthetic bacteria
1362,Vilnius-Lithuania,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Vilnius-Lithuania,"Teaching Activity, Community Event","Primary School Students, Secondary School Students","Science Education, Educate on Synthetic Biology, Promote Awareness of Synthetic Biology","<ul><li> Visit the ""The Centre for Child Development"" for children with developmental, mental and behavioural disorders or children who have experienced abuse and violence, and equip them with lab equipment such as coats and pipettes and teach them basic scientific techniques</li><li> Encourage them to draw custom modified bacteria</ul>",Visited the Centre for Child Development and taught children about lab techniques
